uf	municipio	total	quantidade	percentual
RS	SAO PEDRO DA SERRA	99	0	0.00
RS	SAO PEDRO DAS MISSOES	44	0	0.00
RS	SAO PEDRO DO BUTIA	133	0	0.00
RS	SAO PEDRO DO SUL	394	1	0.25
RS	SAO SEBASTIAO DO CAI	420	0	0.00
RS	SAO SEPE	685	0	0.00
RS	SAO VALENTIM	115	0	0.00
RS	SAO VALENTIM DO SUL	40	0	0.00
RS	SAO VALERIO DO SUL	46	1	2.17
RS	SAO VENDELINO	61	0	0.00
RS	SAO VICENTE DO SUL	237	0	0.00
RS	SAPIRANGA	2845	4	0.14
RS	SAPUCAIA DO SUL	3678	7	0.19
RS	SARANDI	867	0	0.00
RS	SEBERI	248	0	0.00
RS	SEDE NOVA	63	0	0.00
RS	SEGREDO	133	0	0.00
RS	SELBACH	155	0	0.00
RS	SENADOR SALGADO FILHO	56	0	0.00
RS	SENTINELA DO SUL	116	0	0.00
RS	SERAFINA CORREA	429	0	0.00
RS	SERIO	18	0	0.00
RS	SERTAO	176	3	1.70
RS	SERTAO SANTANA	226	0	0.00
RS	SETE DE SETEMBRO	69	0	0.00
RS	SEVERIANO DE ALMEIDA	155	0	0.00
RS	SILVEIRA MARTINS	80	0	0.00
RS	SINIMBU	129	0	0.00
RS	SOBRADINHO	406	0	0.00
RS	SOLEDADE	936	3	0.32
RS	TABAI	98	0	0.00
RS	TAPEJARA	701	2	0.29
RS	TAPERA	340	1	0.29
RS	TAPES	413	1	0.24
RS	TAQUARA	950	5	0.53
RS	TAQUARI	720	4	0.56
RS	TAQUARUCU DO SUL	87	0	0.00
RS	TAVARES	173	1	0.58
RS	TENENTE PORTELA	410	9	2.20
RS	TERRA DE AREIA	353	0	0.00
RS	TEUTONIA	618	0	0.00
RS	TIO HUGO	57	0	0.00
RS	TIRADENTES DO SUL	87	0	0.00
RS	TOROPI	50	0	0.00
RS	TORRES	1405	3	0.21
RS	TRAMANDAI	1401	1	0.07
RS	TRAVESSEIRO	20	0	0.00
RS	TRES ARROIOS	73	0	0.00
RS	TRES CACHOEIRAS	409	0	0.00
RS	TRES COROAS	479	0	0.00
RS	TRES DE MAIO	747	0	0.00
RS	TRES FORQUILHAS	97	0	0.00
RS	TRES PALMEIRAS	122	1	0.82
RS	TRES PASSOS	651	0	0.00
RS	TRINDADE DO SUL	93	0	0.00
RS	TRIUNFO	484	1	0.21
RS	TUCUNDUVA	166	0	0.00
RS	TUNAS	60	0	0.00
RS	TUPANCI DO SUL	52	0	0.00
RS	TUPANCIRETA	550	2	0.36
RS	TUPANDI	63	1	1.59
RS	TUPARENDI	282	1	0.35
RS	TURUCU	140	0	0.00
RS	UBIRETAMA	70	0	0.00
RS	UNIAO DA SERRA	45	0	0.00
RS	UNISTALDA	96	0	0.00
RS	URUGUAIANA	5985	16	0.27
RS	VACARIA	1441	2	0.14
RS	VALE DO SOL	138	0	0.00
RS	VALE REAL	127	0	0.00
RS	VALE VERDE	68	0	0.00
RS	VANINI	78	0	0.00
RS	VENANCIO AIRES	1793	3	0.17
RS	VENANIO AIRES	1	0	0.00
RS	VENNCIO AIRES	1	0	0.00
RS	VERA CRUZ	476	1	0.21
RS	VERANOPOLIS	707	3	0.42
RS	VESPASIANO CORREA	14	0	0.00
RS	VIADUTOS	170	0	0.00
RS	VIAMAO	7379	30	0.41
RS	VICENTE DUTRA	78	1	1.28
RS	VICTOR GRAEFF	102	0	0.00
RS	VILA FLORES	84	0	0.00
RS	VILA LANGARO	60	0	0.00
RS	VILA MARIA	94	0	0.00
RS	VILA NOVA DO SUL	79	1	1.27
RS	VISTA ALEGRE	61	0	0.00
RS	VISTA ALEGRE DO PRATA	23	0	0.00
RS	VISTA GAUCHA	84	0	0.00
RS	VITORIA DAS MISSOES	71	0	0.00
RS	WESTFALIA	35	0	0.00
RS	XANGRI-LA	290	0	0.00
SC	ABDON BATISTA	43	0	0.00
SC	ABELARDO LUZ	499	6	1.20
SC	AGROLANDIA	92	0	0.00
SC	AGRONOMICA	87	1	1.15
SC	AGUA DOCE	106	0	0.00
SC	AGUAS DE CHAPECO	92	0	0.00
SC	AGUAS FRIAS	85	0	0.00
SC	AGUAS MORNAS	91	0	0.00
SC	ALFREDO WAGNER	139	0	0.00
SC	ALTO BELA VISTA	50	0	0.00
SC	ANCHIETA	132	0	0.00
SC	ANGELINA	50	0	0.00
SC	ANITA GARIBALDI	90	2	2.22
SC	ANITAPOLIS	50	1	2.00
SC	ANTONIO CARLOS	157	0	0.00
SC	APIUNA	68	0	0.00
SC	ARABUTA	78	0	0.00
SC	ARAQUARI	332	1	0.30
SC	ARARANGUA	1203	0	0.00
SC	ARMAZEM	100	0	0.00
SC	ARROIO TRINTA	75	0	0.00
SC	ARVOREDO	52	0	0.00
SC	ASCURRA	68	0	0.00
SC	ATALANTA	65	0	0.00
SC	AURORA	93	0	0.00
SC	BALNEARIO ARROIO DO SILVA	145	0	0.00
SC	BALNEARIO BARRA DO SUL	82	0	0.00
SC	BALNEARIO CAMBORIU	2230	10	0.45
SC	BALNEARIO GAIVOTA	147	0	0.00
SC	BALNEARIO PICARRAS	249	0	0.00
SC	BANDEIRANTE	44	0	0.00
SC	BARRA BONITA	38	0	0.00
SC	BARRA VELHA	352	3	0.85
SC	BELA VISTA DO TOLDO	126	0	0.00
SC	BELMONTE	80	1	1.25
SC	BENEDITO NOVO	87	0	0.00
SC	BIGUACU	880	4	0.45
SC	BLUMENAU	2856	5	0.18
SC	BOCAINA DO SUL	33	0	0.00
SC	BOM JARDIM DA SERRA	59	0	0.00
SC	BOM JESUS	65	0	0.00
SC	BOM JESUS DO OESTE	52	0	0.00
SC	BOM RETIRO	91	1	1.10
SC	BOMBINHAS	408	1	0.25
SC	BOTUVERA	23	0	0.00
SC	BRACO DO NORTE	449	0	0.00
SC	BRACO DO TROMBUDO	44	0	0.00
SC	BRUNOPOLIS	42	0	0.00
SC	BRUSQU	1	0	0.00
SC	BRUSQUE	1301	4	0.31
SC	CACADOR	608	4	0.66
SC	CAIBI	148	0	0.00
SC	CALMON	28	0	0.00
SC	CAMBORIU	928	3	0.32
SC	CAMPO ALEGRE	133	0	0.00
SC	CAMPO BELO DO SUL	48	0	0.00
SC	CAMPO ERE	241	0	0.00
SC	CAMPOS NOVOS	480	1	0.21
SC	CANELINHA	136	0	0.00
SC	CANOINHAS	739	1	0.14
SC	CAPAO ALTO	18	0	0.00
SC	CAPINZAL	334	0	0.00
SC	CAPIVARI DE BAIXO	251	0	0.00
SC	CATANDUVAS	177	0	0.00
SC	CAXAMBU DO SUL	99	0	0.00
SC	CELSO RAMOS	42	0	0.00
SC	CERRO NEGRO	23	0	0.00
SC	CHACO	1	0	0.00
SC	CHAPADAO DO LAGEADO	70	0	0.00
SC	CHAPECO	4994	18	0.36
SC	COCAL DO SUL	170	0	0.00
SC	CONCORDIA	1331	4	0.30
SC	CORDILHEIRA ALTA	79	0	0.00
SC	CORONEL FREITAS	257	0	0.00
SC	CORONEL MARTINS	73	0	0.00
SC	CORREIA PINTO	226	0	0.00
SC	CORUPA	129	1	0.78
SC	CRICIUMA	2114	7	0.33
SC	CUNHA PORA	180	0	0.00
SC	CUNHATAI	47	0	0.00
SC	CURITIBANOS	442	3	0.68
SC	DESCANSO	173	0	0.00
SC	DIONISIO CERQUEIRA	310	1	0.32
SC	DONA EMMA	32	0	0.00
SC	DOUTOR PEDRINHO	32	0	0.00
SC	ENTRE RIOS	53	7	13.21
SC	ERMO	46	0	0.00
SC	ERVAL VELHO	46	0	0.00
SC	FAXINAL DOS GUEDES	209	0	0.00
SC	FLOR DO SERTAO	38	0	0.00
SC	FLORIANOPOLIS	10373	26	0.25
SC	FORMOSA DO SUL	72	0	0.00
SC	FORQUILHINHA	172	0	0.00
SC	FRAIBURGO	706	8	1.13
SC	FREI ROGERIO	49	0	0.00
SC	GALVAO	87	0	0.00
SC	GAROPABA	486	2	0.41
SC	GARUVA	198	1	0.51
SC	GASPAR	470	0	0.00
SC	GOVERNADOR CELSO RAMOS	168	0	0.00
SC	GRAO PARA	73	0	0.00
SC	GRAVATAL	163	0	0.00
SC	GUABIRUBA	138	0	0.00
SC	GUARACIABA	233	0	0.00
SC	GUARAMIRIM	443	0	0.00
SC	GUARUJA DO SUL	126	1	0.79
SC	GUATAMBU	62	0	0.00
SC	HERVAL D OESTE	271	4	1.48
SC	IBIAM	33	0	0.00
SC	IBICARE	76	0	0.00
SC	IBIRAMA	149	3	2.01
SC	ICARA	657	1	0.15
SC	IJUCAS	1	0	0.00
SC	ILHOTA	98	0	0.00
SC	IMARUI	180	0	0.00
SC	IMBITUBA	814	3	0.37
SC	IMBUIA	121	0	0.00
SC	INDAIAL	869	0	0.00
SC	IOMERE	46	0	0.00
SC	IPIRA	92	0	0.00
SC	IPORA DO OESTE	274	0	0.00
SC	IPUACU	113	25	22.12
SC	IPUMIRIM	155	1	0.65
SC	IRACEMINHA	89	0	0.00
SC	IRANI	212	0	0.00
SC	IRATI	64	0	0.00
SC	IRINEOPOLIS	137	0	0.00
SC	ITA	171	0	0.00
SC	ITAIOPOLIS	249	0	0.00
SC	ITAJAI	2245	6	0.27
SC	ITAPEMA	980	7	0.71
SC	ITAPIRANGA	598	0	0.00
SC	ITAPOA	363	3	0.83
SC	ITUPORANGA	478	0	0.00
SC	JABORA	99	0	0.00
SC	JACINTO MACHADO	152	0	0.00
SC	JAGUARUNA	205	1	0.49
SC	JARAGUA DO SUL	1885	4	0.21
SC	JARAGUADO SUL	1	0	0.00
SC	JARDINOPOLIS	55	0	0.00
SC	JOACABA	510	0	0.00
SC	JOINVILLE	6990	19	0.27
SC	JOSE BOITEUX	52	9	17.31
SC	JUPIA	49	0	0.00
