uf	municipio	total	quantidade	percentual
PR	NOVA LONDRINA	278	131	47.12
PR	NOVA OLIMPIA	143	48	33.57
PR	NOVA PRATA DO IGUACU	356	84	23.60
PR	NOVA SANTA BARBARA	75	29	38.67
PR	NOVA SANTA ROSA	188	19	10.11
PR	NOVA TEBAS	163	31	19.02
PR	NOVO ITACOLOMI	130	13	10.00
PR	ORTIGUEIRA	347	43	12.39
PR	OURIZONA	22	7	31.82
PR	OURO VERDE DO OESTE	144	37	25.69
PR	PAICANDU	529	170	32.14
PR	PALMAS	1852	492	26.57
PR	PALMEIRA	868	122	14.06
PR	PALMITAL	290	42	14.48
PR	PALOTINA	815	195	23.93
PR	PARAISO DO NORTE	236	59	25.00
PR	PARANACITY	199	73	36.68
PR	PARANAGUA	2326	634	27.26
PR	PARANAPOEMA	90	57	63.33
PR	PARANAVAI	1716	543	31.64
PR	PATO BRAGADO	110	14	12.73
PR	PATO BRANCO	3534	687	19.44
PR	PAULA FREITAS	65	7	10.77
PR	PAULO FRONTIN	103	7	6.80
PR	PEABIRU	236	70	29.66
PR	PEROBAL	103	29	28.16
PR	PEROLA	200	49	24.50
PR	PEROLA D OESTE	221	20	9.05
PR	PIEN	151	18	11.92
PR	PINHAIS	4475	998	22.30
PR	PINHAL DE SAO BENTO	60	15	25.00
PR	PINHALAO	94	12	12.77
PR	PINHAO	622	208	33.44
PR	PIRAI DO SUL	457	43	9.41
PR	PIRAQUARA	2444	630	25.78
PR	PITANGA	719	71	9.87
PR	PITANGUEIRAS	35	8	22.86
PR	PLANALTINA DO PARANA	49	16	32.65
PR	PLANALTO	396	32	8.08
PR	PNHAIS	1	0	0.00
PR	PONTA GROSSA	10078	1115	11.06
PR	PONTAL DO PARANA	381	82	21.52
PR	PORECATU	279	106	37.99
PR	PORTO AMAZONAS	129	20	15.50
PR	PORTO BARREIRO	112	3	2.68
PR	PORTO RICO	35	21	60.00
PR	PORTO VITORIA	49	7	14.29
PR	PRADO FERREIRA	56	18	32.14
PR	PRANCHITA	179	18	10.06
PR	PRESIDENTE CASTELO BRANCO	59	19	32.20
PR	PRIMEIRO DE MAIO	156	35	22.44
PR	PRUDENTOPOLIS	1153	143	12.40
PR	QUARTO CENTENARIO	82	45	54.88
PR	QUATIGUA	95	6	6.32
PR	QUATRO BARRAS	545	100	18.35
PR	QUATRO PONTES	101	10	9.90
PR	QUEDAS DO IGUACU	718	152	21.17
PR	QUERENCIA DO NORTE	209	64	30.62
PR	QUINTA DO SOL	124	45	36.29
PR	QUITANDINHA	179	15	8.38
PR	RAMILANDIA	113	32	28.32
PR	RANCHO ALEGRE	89	24	26.97
PR	RANCHO ALEGRE D OESTE	62	40	64.52
PR	REALEZA	840	146	17.38
PR	REBOUCAS	194	31	15.98
PR	RENASCENCA	260	56	21.54
PR	RESERVA	258	56	21.71
PR	RESERVA DO IGUACU	105	29	27.62
PR	RIBEIRAO CLARO	133	7	5.26
PR	RIBEIRAO DO PINHAL	216	46	21.30
PR	RIO AZUL	170	10	5.88
PR	RIO BOM	59	12	20.34
PR	RIO BONITO DO IGUACU	418	92	22.01
PR	RIO BRANCO DO IVAI	36	11	30.56
PR	RIO BRANCO DO SUL	503	113	22.47
PR	RIO NEGRO	488	73	14.96
PR	ROLANDIA	1100	257	23.36
PR	RONCADOR	139	32	23.02
PR	RONDON	135	44	32.59
PR	ROSARIO DO IVAI	144	22	15.28
PR	SABAUDIA	80	11	13.75
PR	SALGADO FILHO	126	12	9.52
PR	SALTO DO ITARARE	69	5	7.25
