id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
1114	438	17	5	35	238	138	138	3.88	1.14	7.99	54.34	31.51	63.47
1115	129	1	1	20	61	46	46	0.78	0.78	15.50	47.29	35.66	63.57
1116	65	2	0	8	35	19	19	3.08	0.00	12.31	53.85	29.23	66.15
1117	2707	109	6	247	1171	1113	1113	4.03	0.22	9.12	43.26	41.12	52.60
1118	657	28	3	42	252	310	310	4.26	0.46	6.39	38.36	47.18	45.21
1119	155	4	0	13	63	73	73	2.58	0.00	8.39	40.65	47.10	49.03
1120	101	2	1	4	56	36	36	1.98	0.99	3.96	55.45	35.64	60.40
1121	33	2	0	5	14	12	12	6.06	0.00	15.15	42.42	36.36	57.58
1122	86	3	3	6	41	33	33	3.49	3.49	6.98	47.67	38.37	58.14
1123	593	17	5	33	270	248	248	2.87	0.84	5.56	45.53	41.82	51.94
1124	77	3	0	1	37	36	36	3.90	0.00	1.30	48.05	46.75	49.35
1125	142	5	0	20	67	45	45	3.52	0.00	14.08	47.18	31.69	61.27
1126	47	0	0	7	24	16	16	0.00	0.00	14.89	51.06	34.04	65.96
1127	80	1	0	5	27	46	46	1.25	0.00	6.25	33.75	57.50	40.00
1128	67	0	1	11	38	17	17	0.00	1.49	16.42	56.72	25.37	74.63
1129	242	6	2	29	134	69	69	2.48	0.83	11.98	55.37	28.51	68.18
1130	41	3	1	4	20	13	13	7.32	2.44	9.76	48.78	31.71	60.98
1131	135	2	0	15	54	62	62	1.48	0.00	11.11	40.00	45.93	51.11
1132	1206	67	11	178	621	296	296	5.56	0.91	14.76	51.49	24.54	67.16
1133	99	6	1	20	53	19	19	6.06	1.01	20.20	53.54	19.19	74.75
1134	96	5	1	11	55	22	22	5.21	1.04	11.46	57.29	22.92	69.79
1135	186	11	2	26	90	54	54	5.91	1.08	13.98	48.39	29.03	63.44
1136	27	1	0	2	7	17	17	3.70	0.00	7.41	25.93	62.96	33.33
1137	835	49	0	69	359	342	342	5.87	0.00	8.26	42.99	40.96	51.26
1138	63	1	0	15	23	20	20	1.59	0.00	23.81	36.51	31.75	60.32
1139	465	20	1	60	252	125	125	4.30	0.22	12.90	54.19	26.88	67.31
1140	52	3	0	5	27	17	17	5.77	0.00	9.62	51.92	32.69	61.54
1141	41	1	1	1	22	16	16	2.44	2.44	2.44	53.66	39.02	58.54
1142	365	13	0	37	152	154	154	3.56	0.00	10.14	41.64	42.19	51.78
1143	2376	94	7	371	1219	633	633	3.96	0.29	15.61	51.30	26.64	67.21
1144	193	8	2	16	99	59	59	4.15	1.04	8.29	51.30	30.57	60.62
1145	581	40	3	47	212	268	268	6.88	0.52	8.09	36.49	46.13	45.09
1146	111	3	0	40	48	20	20	2.70	0.00	36.04	43.24	18.02	79.28
1147	32	4	0	7	18	3	3	12.50	0.00	21.88	56.25	9.38	78.13
1148	92	7	1	9	42	33	33	7.61	1.09	9.78	45.65	35.87	56.52
1149	37	1	1	4	26	5	5	2.70	2.70	10.81	70.27	13.51	83.78
1150	115	5	0	11	45	46	46	4.35	0.00	9.57	39.13	40.00	48.70
1151	66	2	0	3	25	34	34	3.03	0.00	4.55	37.88	51.52	42.42
1152	2993	161	17	319	1483	947	947	5.38	0.57	10.66	49.55	31.64	60.78
1153	110	2	0	28	55	25	25	1.82	0.00	25.45	50.00	22.73	75.45
1154	145	8	1	19	76	41	41	5.52	0.69	13.10	52.41	28.28	66.21
1155	62	9	0	12	26	14	14	14.52	0.00	19.35	41.94	22.58	61.29
1156	30	2	1	2	13	11	11	6.67	3.33	6.67	43.33	36.67	53.33
1157	824	28	3	105	435	235	235	3.40	0.36	12.74	52.79	28.52	65.90
1158	382	9	2	31	171	164	164	2.36	0.52	8.12	44.76	42.93	53.40
1159	114	4	0	12	47	50	50	3.51	0.00	10.53	41.23	43.86	51.75
1160	3623	154	26	593	1776	978	978	4.25	0.72	16.37	49.02	26.99	66.11
1161	51	0	0	8	18	21	21	0.00	0.00	15.69	35.29	41.18	50.98
1162	290	14	1	38	109	126	126	4.83	0.34	13.10	37.59	43.45	51.03
1163	94	2	0	4	35	52	52	2.13	0.00	4.26	37.23	55.32	41.49
1164	64	3	0	6	43	12	12	4.69	0.00	9.38	67.19	18.75	76.56
1165	105	2	1	6	70	25	25	1.90	0.95	5.71	66.67	23.81	73.33
1166	3742	86	9	489	2179	942	942	2.30	0.24	13.07	58.23	25.17	71.54
1167	71	1	1	23	39	6	6	1.41	1.41	32.39	54.93	8.45	88.73
1168	39	0	0	0	28	6	6	0.00	0.00	0.00	71.79	15.38	71.79
1169	393	4	1	88	245	48	48	1.02	0.25	22.39	62.34	12.21	84.99
1170	412	14	1	60	282	52	52	3.40	0.24	14.56	68.45	12.62	83.25
1171	35	0	0	4	27	4	4	0.00	0.00	11.43	77.14	11.43	88.57
1172	192	2	1	16	144	24	24	1.04	0.52	8.33	75.00	12.50	83.85
1173	293	8	1	48	185	44	44	2.73	0.34	16.38	63.14	15.02	79.86
1174	147	1	0	17	100	26	26	0.68	0.00	11.56	68.03	17.69	79.59
1175	39	0	0	5	26	8	8	0.00	0.00	12.82	66.67	20.51	79.49
1176	525	6	18	62	321	115	115	1.14	3.43	11.81	61.14	21.90	76.38
1177	255	1	1	19	147	85	85	0.39	0.39	7.45	57.65	33.33	65.49
1178	218	1	1	14	158	39	39	0.46	0.46	6.42	72.48	17.89	79.36
1179	143	4	1	24	100	14	14	2.80	0.70	16.78	69.93	9.79	87.41
1180	102	2	1	7	64	28	28	1.96	0.98	6.86	62.75	27.45	70.59
1181	286	3	2	45	180	46	46	1.05	0.70	15.73	62.94	16.08	79.37
1182	554	2	16	63	344	107	107	0.36	2.89	11.37	62.09	19.31	76.35
1183	478	3	0	36	222	215	215	0.63	0.00	7.53	46.44	44.98	53.97
1184	288	3	7	49	174	54	54	1.04	2.43	17.01	60.42	18.75	79.86
1185	3824	119	22	744	2051	837	837	3.11	0.58	19.46	53.63	21.89	73.67
1186	228	5	0	16	145	60	60	2.19	0.00	7.02	63.60	26.32	70.61
1187	238	9	0	90	107	32	32	3.78	0.00	37.82	44.96	13.45	82.77
1188	99	1	0	11	74	10	10	1.01	0.00	11.11	74.75	10.10	85.86
1189	1967	91	18	209	1123	470	470	4.63	0.92	10.63	57.09	23.89	68.63
1190	714	22	3	113	463	105	105	3.08	0.42	15.83	64.85	14.71	81.09
1191	1595	16	21	148	934	456	456	1.00	1.32	9.28	58.56	28.59	69.15
1192	819	18	6	53	604	125	125	2.20	0.73	6.47	73.75	15.26	80.95
1193	72	2	0	10	46	12	12	2.78	0.00	13.89	63.89	16.67	77.78
1194	52	0	0	3	45	4	4	0.00	0.00	5.77	86.54	7.69	92.31
1195	120	3	0	16	74	23	23	2.50	0.00	13.33	61.67	19.17	75.00
1196	309	3	0	48	158	99	99	0.97	0.00	15.53	51.13	32.04	66.67
1197	74	2	0	8	47	16	16	2.70	0.00	10.81	63.51	21.62	74.32
1198	91	0	0	10	67	12	12	0.00	0.00	10.99	73.63	13.19	84.62
1199	731	8	2	87	473	150	150	1.09	0.27	11.90	64.71	20.52	76.88
1200	165	1	0	23	108	31	31	0.61	0.00	13.94	65.45	18.79	79.39
1201	123	0	0	3	67	51	51	0.00	0.00	2.44	54.47	41.46	56.91
1202	527	14	2	45	362	93	93	2.66	0.38	8.54	68.69	17.65	77.61
1203	47	0	0	4	29	12	12	0.00	0.00	8.51	61.70	25.53	70.21
1204	175	0	1	18	115	39	39	0.00	0.57	10.29	65.71	22.29	76.57
1205	378	4	1	50	260	63	63	1.06	0.26	13.23	68.78	16.67	82.28
1206	1861	55	8	197	1281	297	297	2.96	0.43	10.59	68.83	15.96	79.85
1207	138	2	0	14	91	31	31	1.45	0.00	10.14	65.94	22.46	76.09
1208	55	1	0	4	40	10	10	1.82	0.00	7.27	72.73	18.18	80.00
1209	64	1	0	6	47	9	9	1.56	0.00	9.38	73.44	14.06	82.81
1210	75	1	0	10	52	11	11	1.33	0.00	13.33	69.33	14.67	82.67
1211	325	2	0	32	195	81	81	0.62	0.00	9.85	60.00	24.92	69.85
1212	141	1	2	26	74	35	35	0.71	1.42	18.44	52.48	24.82	72.34
1213	207	0	0	20	159	28	28	0.00	0.00	9.66	76.81	13.53	86.47
1214	83	3	0	9	49	19	19	3.61	0.00	10.84	59.04	22.89	69.88
1215	481	12	3	65	271	108	108	2.49	0.62	13.51	56.34	22.45	70.48
1216	343	1	3	18	256	62	62	0.29	0.87	5.25	74.64	18.08	80.76
1217	8302	227	35	1606	5281	1061	1061	2.73	0.42	19.34	63.61	12.78	83.38
1218	109	2	1	10	71	25	25	1.83	0.92	9.17	65.14	22.94	75.23
1219	65	0	0	23	33	7	7	0.00	0.00	35.38	50.77	10.77	86.15
1220	31	0	0	3	17	9	9	0.00	0.00	9.68	54.84	29.03	64.52
1221	103	0	0	9	84	9	9	0.00	0.00	8.74	81.55	8.74	90.29
1222	2038	30	13	187	1256	524	524	1.47	0.64	9.18	61.63	25.71	71.44
1223	299	5	0	34	192	64	64	1.67	0.00	11.37	64.21	21.40	75.59
1224	3355	70	19	700	2079	435	435	2.09	0.57	20.86	61.97	12.97	83.40
1225	804	11	1	87	568	126	126	1.37	0.12	10.82	70.65	15.67	81.59
1226	726	23	1	174	390	131	131	3.17	0.14	23.97	53.72	18.04	77.82
1227	41	1	0	11	23	5	5	2.44	0.00	26.83	56.10	12.20	82.93
1228	1189	25	5	134	772	244	244	2.10	0.42	11.27	64.93	20.52	76.62
1229	392	6	1	115	238	30	30	1.53	0.26	29.34	60.71	7.65	90.31
1230	459	10	1	73	289	83	83	2.18	0.22	15.90	62.96	18.08	79.08
1231	546	8	2	57	330	142	142	1.47	0.37	10.44	60.44	26.01	71.25
1232	161	2	0	17	129	13	13	1.24	0.00	10.56	80.12	8.07	90.68
1233	343	2	3	24	193	116	116	0.58	0.87	7.00	56.27	33.82	64.14
1234	601	12	3	54	326	196	196	2.00	0.50	8.99	54.24	32.61	63.73
1235	60	4	2	3	45	5	5	6.67	3.33	5.00	75.00	8.33	83.33
1236	9	0	2	0	1	6	6	0.00	22.22	0.00	11.11	66.67	33.33
1237	388	7	0	21	227	126	126	1.80	0.00	5.41	58.51	32.47	63.92
1238	412	16	6	41	240	99	99	3.88	1.46	9.95	58.25	24.03	69.66
1239	174	3	2	13	134	19	19	1.72	1.15	7.47	77.01	10.92	85.63
1240	182	1	1	25	125	29	29	0.55	0.55	13.74	68.68	15.93	82.97
1241	122	5	0	17	73	25	25	4.10	0.00	13.93	59.84	20.49	73.77
1242	125	1	0	11	68	39	39	0.80	0.00	8.80	54.40	31.20	63.20
1243	450	10	1	71	274	90	90	2.22	0.22	15.78	60.89	20.00	76.89
1244	217	6	1	28	149	32	32	2.76	0.46	12.90	68.66	14.75	82.03
1245	112	0	0	9	92	8	8	0.00	0.00	8.04	82.14	7.14	90.18
1246	202	0	1	25	145	31	31	0.00	0.50	12.38	71.78	15.35	84.65
1247	218	8	1	18	150	38	38	3.67	0.46	8.26	68.81	17.43	77.52
1248	100	1	1	9	64	24	24	1.00	1.00	9.00	64.00	24.00	74.00
1249	1667	22	64	159	950	451	451	1.32	3.84	9.54	56.99	27.05	70.37
1250	227	1	0	31	175	19	19	0.44	0.00	13.66	77.09	8.37	90.75
1251	351	4	0	19	297	30	30	1.14	0.00	5.41	84.62	8.55	90.03
1252	232	4	5	22	183	17	17	1.72	2.16	9.48	78.88	7.33	90.52
1253	171	4	0	26	107	29	29	2.34	0.00	15.20	62.57	16.96	77.78
1254	188	8	0	18	120	41	41	4.26	0.00	9.57	63.83	21.81	73.40
1255	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
1256	19222	550	70	2926	10376	5073	5073	2.86	0.36	15.22	53.98	26.39	69.57
1257	100	1	0	8	72	19	19	1.00	0.00	8.00	72.00	19.00	80.00
1258	1049	6	2	142	627	258	258	0.57	0.19	13.54	59.77	24.59	73.50
1259	395	6	1	57	236	91	91	1.52	0.25	14.43	59.75	23.04	74.43
1260	97	3	0	16	58	19	19	3.09	0.00	16.49	59.79	19.59	76.29
1261	104	0	4	6	56	38	38	0.00	3.85	5.77	53.85	36.54	63.46
1262	1062	30	2	179	613	227	227	2.82	0.19	16.85	57.72	21.37	74.76
1263	196	1	0	24	130	41	41	0.51	0.00	12.24	66.33	20.92	78.57
1264	67	1	0	2	43	18	18	1.49	0.00	2.99	64.18	26.87	67.16
1265	745	9	1	56	503	171	171	1.21	0.13	7.52	67.52	22.95	75.17
1266	258	13	0	25	163	56	56	5.04	0.00	9.69	63.18	21.71	72.87
1267	129	0	0	10	85	32	32	0.00	0.00	7.75	65.89	24.81	73.64
1268	153	6	0	17	113	15	15	3.92	0.00	11.11	73.86	9.80	84.97
1269	169	2	0	10	118	38	38	1.18	0.00	5.92	69.82	22.49	75.74
1270	14	0	0	2	12	0	0	0.00	0.00	14.29	85.71	0.00	100.00
1271	96	1	0	5	64	26	26	1.04	0.00	5.21	66.67	27.08	71.88
1272	227	4	0	42	126	54	54	1.76	0.00	18.50	55.51	23.79	74.01
1273	211	4	1	28	122	52	52	1.90	0.47	13.27	57.82	24.64	71.56
1274	87	5	1	5	62	14	14	5.75	1.15	5.75	71.26	16.09	78.16
1275	205	2	0	12	130	54	54	0.98	0.00	5.85	63.41	26.34	69.27
1276	229	3	0	16	155	53	53	1.31	0.00	6.99	67.69	23.14	74.67
1277	15	0	0	0	11	4	4	0.00	0.00	0.00	73.33	26.67	73.33
1278	43	1	0	6	26	10	10	2.33	0.00	13.95	60.47	23.26	74.42
1279	268	2	1	14	214	35	35	0.75	0.37	5.22	79.85	13.06	85.45
1280	366	4	1	50	228	69	69	1.09	0.27	13.66	62.30	18.85	76.23
1281	317	4	0	69	203	38	38	1.26	0.00	21.77	64.04	11.99	85.80
1282	67	0	1	5	46	11	11	0.00	1.49	7.46	68.66	16.42	77.61
1283	43	0	1	4	31	7	7	0.00	2.33	9.30	72.09	16.28	83.72
1284	472	3	7	46	288	122	122	0.64	1.48	9.75	61.02	25.85	72.25
1285	236	2	1	22	138	71	71	0.85	0.42	9.32	58.47	30.08	68.22
1286	268	2	0	36	201	26	26	0.75	0.00	13.43	75.00	9.70	88.43
1287	255	1	1	56	146	34	34	0.39	0.39	21.96	57.25	13.33	79.61
1288	305	9	13	29	167	79	79	2.95	4.26	9.51	54.75	25.90	68.52
1289	290	1	1	35	225	27	27	0.34	0.34	12.07	77.59	9.31	90.00
1290	139	0	0	23	82	31	31	0.00	0.00	16.55	58.99	22.30	75.54
1291	81	9	0	8	40	24	24	11.11	0.00	9.88	49.38	29.63	59.26
1292	77	4	0	19	32	21	21	5.19	0.00	24.68	41.56	27.27	66.23
1293	350	4	0	62	232	46	46	1.14	0.00	17.71	66.29	13.14	84.00
1294	260	14	0	37	133	74	74	5.38	0.00	14.23	51.15	28.46	65.38
1295	273	2	1	41	198	30	30	0.73	0.37	15.02	72.53	10.99	87.91
1296	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
1297	5795	120	29	990	3180	1388	1388	2.07	0.50	17.08	54.87	23.95	72.46
1298	180	0	1	53	102	23	23	0.00	0.56	29.44	56.67	12.78	86.67
1299	353	4	2	44	241	62	62	1.13	0.57	12.46	68.27	17.56	81.30
1300	508	15	5	42	354	81	81	2.95	0.98	8.27	69.69	15.94	78.94
1301	215	9	0	13	150	42	42	4.19	0.00	6.05	69.77	19.53	75.81
1302	304	7	3	27	186	75	75	2.30	0.99	8.88	61.18	24.67	71.05
1303	62	0	0	3	47	10	10	0.00	0.00	4.84	75.81	16.13	80.65
1304	221	3	2	32	143	39	39	1.36	0.90	14.48	64.71	17.65	80.09
1305	1	0	0	0	0	1	1	0.00	0.00	0.00	0.00	100.00	0.00
1306	1200	42	7	189	628	314	314	3.50	0.58	15.75	52.33	26.17	68.67
1307	63	1	0	12	42	7	7	1.59	0.00	19.05	66.67	11.11	85.71
1308	214	1	0	61	132	18	18	0.47	0.00	28.50	61.68	8.41	90.19
1309	162	1	1	25	79	56	56	0.62	0.62	15.43	48.77	34.57	64.81
1310	231	3	2	29	136	54	54	1.30	0.87	12.55	58.87	23.38	72.29
1311	686	12	4	141	398	113	113	1.75	0.58	20.55	58.02	16.47	79.15
1312	2125	41	18	330	1335	363	363	1.93	0.85	15.53	62.82	17.08	79.20
1313	367	9	1	53	209	94	94	2.45	0.27	14.44	56.95	25.61	71.66
1314	170	1	0	18	122	29	29	0.59	0.00	10.59	71.76	17.06	82.35
1315	423	8	2	27	257	125	125	1.89	0.47	6.38	60.76	29.55	67.61
1316	589	11	0	56	315	199	199	1.87	0.00	9.51	53.48	33.79	62.99
1317	56	0	0	6	36	13	13	0.00	0.00	10.71	64.29	23.21	75.00
1318	949	34	6	129	442	320	320	3.58	0.63	13.59	46.58	33.72	60.80
1319	103	0	1	11	78	10	10	0.00	0.97	10.68	75.73	9.71	87.38
1320	75	4	0	3	57	10	10	5.33	0.00	4.00	76.00	13.33	80.00
1321	52	2	0	6	36	6	6	3.85	0.00	11.54	69.23	11.54	80.77
1322	114	1	0	9	90	14	14	0.88	0.00	7.89	78.95	12.28	86.84
1323	55	1	0	4	41	8	8	1.82	0.00	7.27	74.55	14.55	81.82
1324	591	16	6	77	358	123	123	2.71	1.02	13.03	60.58	20.81	74.62
1325	312	7	1	34	189	73	73	2.24	0.32	10.90	60.58	23.40	71.79
1326	121	2	0	14	72	30	30	1.65	0.00	11.57	59.50	24.79	71.07
1327	952	9	3	111	634	173	173	0.95	0.32	11.66	66.60	18.17	78.57
1328	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
1329	70	1	0	9	55	5	5	1.43	0.00	12.86	78.57	7.14	91.43
1330	45	0	0	0	26	19	19	0.00	0.00	0.00	57.78	42.22	57.78
1331	374	8	1	43	192	111	111	2.14	0.27	11.50	51.34	29.68	63.10
1332	3665	84	16	590	2142	768	768	2.29	0.44	16.10	58.44	20.95	74.98
1333	712	7	2	76	488	130	130	0.98	0.28	10.67	68.54	18.26	79.49
1334	276	6	1	19	170	72	72	2.17	0.36	6.88	61.59	26.09	68.84
1335	515	3	3	45	339	110	110	0.58	0.58	8.74	65.83	21.36	75.15
1336	422	5	1	51	268	93	93	1.18	0.24	12.09	63.51	22.04	75.83
1337	146	1	0	4	113	10	10	0.68	0.00	2.74	77.40	6.85	80.14
1338	54	0	0	6	41	7	7	0.00	0.00	11.11	75.93	12.96	87.04
1339	140	2	0	16	100	19	19	1.43	0.00	11.43	71.43	13.57	82.86
1340	220	1	0	11	164	41	41	0.45	0.00	5.00	74.55	18.64	79.55
1341	817	21	4	184	431	125	125	2.57	0.49	22.52	52.75	15.30	75.76
1342	750	6	1	45	597	96	96	0.80	0.13	6.00	79.60	12.80	85.73
1343	116	3	1	9	70	33	33	2.59	0.86	7.76	60.34	28.45	68.97
1344	521	13	1	53	275	138	138	2.50	0.19	10.17	52.78	26.49	63.15
1345	47	0	0	6	22	18	18	0.00	0.00	12.77	46.81	38.30	59.57
1346	95	0	0	8	52	33	33	0.00	0.00	8.42	54.74	34.74	63.16
1347	214	6	0	15	166	26	26	2.80	0.00	7.01	77.57	12.15	84.58
1348	252	1	0	30	166	55	55	0.40	0.00	11.90	65.87	21.83	77.78
1349	55	0	0	6	48	1	1	0.00	0.00	10.91	87.27	1.82	98.18
1350	129	3	0	11	64	49	49	2.33	0.00	8.53	49.61	37.98	58.14
1351	146	6	2	31	87	15	15	4.11	1.37	21.23	59.59	10.27	82.19
1352	926	42	9	133	493	246	246	4.54	0.97	14.36	53.24	26.57	68.57
1353	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
1354	7567	129	41	1281	4351	1629	1629	1.70	0.54	16.93	57.50	21.53	74.97
1355	53	0	0	6	39	8	8	0.00	0.00	11.32	73.58	15.09	84.91
1356	74698	1669	302	13780	38012	19762	19762	2.23	0.40	18.45	50.89	26.46	69.74
1357	260	2	1	58	150	48	48	0.77	0.38	22.31	57.69	18.46	80.38
1358	457	13	7	55	268	105	105	2.84	1.53	12.04	58.64	22.98	72.21
1359	162	4	0	11	109	34	34	2.47	0.00	6.79	67.28	20.99	74.07
1360	80	1	1	5	48	24	24	1.25	1.25	6.25	60.00	30.00	67.50
1361	514	20	1	47	326	108	108	3.89	0.19	9.14	63.42	21.01	72.76
1362	27	0	0	1	21	5	5	0.00	0.00	3.70	77.78	18.52	81.48
1363	47	0	0	2	33	12	12	0.00	0.00	4.26	70.21	25.53	74.47
1364	418	3	1	80	265	56	56	0.72	0.24	19.14	63.40	13.40	82.78
1365	72	5	0	5	45	11	11	6.94	0.00	6.94	62.50	15.28	69.44
1366	128	3	0	31	73	19	19	2.34	0.00	24.22	57.03	14.84	81.25
1367	438	8	1	53	258	112	112	1.83	0.23	12.10	58.90	25.57	71.23
1368	73	0	0	27	41	5	5	0.00	0.00	36.99	56.16	6.85	93.15
1369	388	6	0	38	198	143	143	1.55	0.00	9.79	51.03	36.86	60.82
1370	218	16	3	30	127	38	38	7.34	1.38	13.76	58.26	17.43	73.39
1371	98	0	3	16	56	21	21	0.00	3.06	16.33	57.14	21.43	76.53
1372	109	0	1	6	87	14	14	0.00	0.92	5.50	79.82	12.84	86.24
1373	611	6	7	71	466	59	59	0.98	1.15	11.62	76.27	9.66	89.03
1374	7345	249	46	1356	4765	834	834	3.39	0.63	18.46	64.87	11.35	83.96
1375	377	6	2	52	230	82	82	1.59	0.53	13.79	61.01	21.75	75.33
1376	40	0	1	8	22	7	7	0.00	2.50	20.00	55.00	17.50	77.50
1377	388	7	0	22	226	124	124	1.80	0.00	5.67	58.25	31.96	63.92
1378	266	0	2	49	169	46	46	0.00	0.75	18.42	63.53	17.29	82.71
1379	81	2	0	8	33	25	25	2.47	0.00	9.88	40.74	30.86	50.62
1380	515	2	4	30	351	118	118	0.39	0.78	5.83	68.16	22.91	74.76
1381	302	1	1	34	232	33	33	0.33	0.33	11.26	76.82	10.93	88.41
1382	529	0	1	25	435	66	66	0.00	0.19	4.73	82.23	12.48	87.15
1383	585	5	0	59	347	170	170	0.85	0.00	10.09	59.32	29.06	69.40
1384	110	0	0	8	75	27	27	0.00	0.00	7.27	68.18	24.55	75.45
1385	407	7	0	47	247	104	104	1.72	0.00	11.55	60.69	25.55	72.24
1386	753	5	3	59	506	178	178	0.66	0.40	7.84	67.20	23.64	75.43
1387	1122	16	1	114	763	206	206	1.43	0.09	10.16	68.00	18.36	78.25
1388	197	1	1	12	42	141	141	0.51	0.51	6.09	21.32	71.57	27.92
1389	807	15	3	88	322	370	370	1.86	0.37	10.90	39.90	45.85	51.18
1390	363	15	1	50	136	153	153	4.13	0.28	13.77	37.47	42.15	51.52
1391	143	6	1	38	62	32	32	4.20	0.70	26.57	43.36	22.38	70.63
1392	162	1	2	32	79	46	46	0.62	1.23	19.75	48.77	28.40	69.75
1393	297	10	0	20	235	32	32	3.37	0.00	6.73	79.12	10.77	85.86
1394	17	0	0	2	5	8	8	0.00	0.00	11.76	29.41	47.06	41.18
1395	144	3	0	14	44	81	81	2.08	0.00	9.72	30.56	56.25	40.28
1396	459	6	2	41	290	117	117	1.31	0.44	8.93	63.18	25.49	72.55
1397	214	1	2	20	137	52	52	0.47	0.93	9.35	64.02	24.30	74.30
1398	577	13	2	50	255	247	247	2.25	0.35	8.67	44.19	42.81	53.21
1399	178	0	2	17	29	129	129	0.00	1.12	9.55	16.29	72.47	26.97
1400	32	0	0	0	5	27	27	0.00	0.00	0.00	15.63	84.38	15.63
1401	57	0	0	3	8	45	45	0.00	0.00	5.26	14.04	78.95	19.30
1402	543	4	1	90	148	293	293	0.74	0.18	16.57	27.26	53.96	44.01
1403	4520	70	8	397	1083	2897	2897	1.55	0.18	8.78	23.96	64.09	32.92
1404	124	2	1	8	34	79	79	1.61	0.81	6.45	27.42	63.71	34.68
1405	875	24	5	92	528	215	215	2.74	0.57	10.51	60.34	24.57	71.43
1406	155	6	2	12	86	45	45	3.87	1.29	7.74	55.48	29.03	64.52
1407	719	11	0	35	143	526	526	1.53	0.00	4.87	19.89	73.16	24.76
1408	448	7	1	21	63	356	356	1.56	0.22	4.69	14.06	79.46	18.97
1409	89	3	0	0	20	66	66	3.37	0.00	0.00	22.47	74.16	22.47
1410	135	0	1	8	23	98	98	0.00	0.74	5.93	17.04	72.59	23.70
1411	258	2	0	29	96	129	129	0.78	0.00	11.24	37.21	50.00	48.45
1412	110	2	0	8	56	44	44	1.82	0.00	7.27	50.91	40.00	58.18
1413	566	5	6	86	261	206	206	0.88	1.06	15.19	46.11	36.40	62.37
1414	70	0	0	5	57	8	8	0.00	0.00	7.14	81.43	11.43	88.57
1415	102	3	0	15	37	45	45	2.94	0.00	14.71	36.27	44.12	50.98
1416	727	5	2	11	108	592	592	0.69	0.28	1.51	14.86	81.43	16.64
1417	344	3	1	41	57	236	236	0.87	0.29	11.92	16.57	68.60	28.78
1418	285	8	1	33	170	50	50	2.81	0.35	11.58	59.65	17.54	71.58
1419	217	4	0	20	74	116	116	1.84	0.00	9.22	34.10	53.46	43.32
1420	242	9	0	65	100	68	68	3.72	0.00	26.86	41.32	28.10	68.18
1421	63	0	0	15	17	31	31	0.00	0.00	23.81	26.98	49.21	50.79
1422	58	1	1	15	28	13	13	1.72	1.72	25.86	48.28	22.41	75.86
1423	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
1424	53	1	0	12	20	20	20	1.89	0.00	22.64	37.74	37.74	60.38
1425	1342	27	6	242	824	237	237	2.01	0.45	18.03	61.40	17.66	79.88
1426	4012	68	12	383	1172	2336	2336	1.69	0.30	9.55	29.21	58.23	39.06
1427	56	0	0	6	11	39	39	0.00	0.00	10.71	19.64	69.64	30.36
1428	250	14	1	35	123	64	64	5.60	0.40	14.00	49.20	25.60	63.60
1429	118	7	0	13	45	52	52	5.93	0.00	11.02	38.14	44.07	49.15
1430	122	0	0	5	10	107	107	0.00	0.00	4.10	8.20	87.70	12.30
1431	153	0	2	7	52	90	90	0.00	1.31	4.58	33.99	58.82	39.87
1432	1921	50	9	185	567	1078	1078	2.60	0.47	9.63	29.52	56.12	39.61
1433	119	0	0	9	20	89	89	0.00	0.00	7.56	16.81	74.79	24.37
1434	736	18	4	64	215	418	418	2.45	0.54	8.70	29.21	56.79	38.45
1435	494	5	1	32	110	345	345	1.01	0.20	6.48	22.27	69.84	28.95
1436	41	0	0	7	7	27	27	0.00	0.00	17.07	17.07	65.85	34.15
1437	97	7	0	4	62	24	24	7.22	0.00	4.12	63.92	24.74	68.04
1438	488	18	2	58	299	104	104	3.69	0.41	11.89	61.27	21.31	73.57
1439	237	4	1	30	69	127	127	1.69	0.42	12.66	29.11	53.59	42.19
1440	260	8	1	46	147	56	56	3.08	0.38	17.69	56.54	21.54	74.62
1441	78	1	0	9	57	11	11	1.28	0.00	11.54	73.08	14.10	84.62
1442	598	2	1	48	105	428	428	0.33	0.17	8.03	17.56	71.57	25.75
1443	178	4	3	17	100	52	52	2.25	1.69	9.55	56.18	29.21	67.42
1444	552	7	1	38	183	308	308	1.27	0.18	6.88	33.15	55.80	40.22
1445	94	2	2	6	59	25	25	2.13	2.13	6.38	62.77	26.60	71.28
1446	99	1	0	5	22	71	71	1.01	0.00	5.05	22.22	71.72	27.27
1447	922	37	7	159	465	241	241	4.01	0.76	17.25	50.43	26.14	68.44
1448	141	0	0	28	39	74	74	0.00	0.00	19.86	27.66	52.48	47.52
1449	4383	53	11	482	1031	2725	2725	1.21	0.25	11.00	23.52	62.17	34.77
1450	111	0	0	14	45	47	47	0.00	0.00	12.61	40.54	42.34	53.15
