id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
78	923	32	7	129	519	211	211	3.47	0.76	13.98	56.23	22.86	70.96
79	349	9	2	30	223	83	83	2.58	0.57	8.60	63.90	23.78	73.07
80	170	2	2	14	104	48	48	1.18	1.18	8.24	61.18	28.24	70.59
81	449	16	2	63	265	94	94	3.56	0.45	14.03	59.02	20.94	73.50
82	383	25	3	69	224	56	56	6.53	0.78	18.02	58.49	14.62	77.28
83	58	1	0	3	36	18	18	1.72	0.00	5.17	62.07	31.03	67.24
84	85	4	0	10	51	20	20	4.71	0.00	11.76	60.00	23.53	71.76
85	620	32	16	87	335	142	142	5.16	2.58	14.03	54.03	22.90	70.65
86	95	3	0	5	63	19	19	3.16	0.00	5.26	66.32	20.00	71.58
87	339	4	0	27	214	84	84	1.18	0.00	7.96	63.13	24.78	71.09
88	133	9	1	14	76	32	32	6.77	0.75	10.53	57.14	24.06	68.42
89	78	1	1	1	49	19	19	1.28	1.28	1.28	62.82	24.36	65.38
90	119	1	1	5	73	38	38	0.84	0.84	4.20	61.34	31.93	66.39
91	193	9	0	10	93	77	77	4.66	0.00	5.18	48.19	39.90	53.37
92	70	3	0	18	36	8	8	4.29	0.00	25.71	51.43	11.43	77.14
93	2143	63	49	182	1087	709	709	2.94	2.29	8.49	50.72	33.08	61.50
94	341	8	3	57	220	44	44	2.35	0.88	16.72	64.52	12.90	82.11
95	284	4	48	11	163	57	57	1.41	16.90	3.87	57.39	20.07	78.17
96	296	11	1	34	188	54	54	3.72	0.34	11.49	63.51	18.24	75.34
97	168	8	1	19	118	18	18	4.76	0.60	11.31	70.24	10.71	82.14
98	245	4	1	16	133	88	88	1.63	0.41	6.53	54.29	35.92	61.22
99	1566	46	17	188	972	313	313	2.94	1.09	12.01	62.07	19.99	75.16
100	282	10	2	23	167	72	72	3.55	0.71	8.16	59.22	25.53	68.09
101	667	23	7	69	414	142	142	3.45	1.05	10.34	62.07	21.29	73.46
102	68	1	0	12	42	13	13	1.47	0.00	17.65	61.76	19.12	79.41
103	537	19	5	71	317	114	114	3.54	0.93	13.22	59.03	21.23	73.18
104	123	2	0	6	98	17	17	1.63	0.00	4.88	79.67	13.82	84.55
105	400	26	3	54	219	85	85	6.50	0.75	13.50	54.75	21.25	69.00
106	105	2	2	13	66	19	19	1.90	1.90	12.38	62.86	18.10	77.14
107	360	13	27	46	205	62	62	3.61	7.50	12.78	56.94	17.22	77.22
108	294	9	2	32	183	64	64	3.06	0.68	10.88	62.24	21.77	73.81
109	2372	96	20	269	1393	543	543	4.05	0.84	11.34	58.73	22.89	70.91
110	50	1	0	4	37	7	7	2.00	0.00	8.00	74.00	14.00	82.00
111	214	10	3	24	135	39	39	4.67	1.40	11.21	63.08	18.22	75.70
112	1018	17	7	61	550	362	362	1.67	0.69	5.99	54.03	35.56	60.71
113	1	0	0	0	0	1	1	0.00	0.00	0.00	0.00	100.00	0.00
114	185	5	1	14	96	67	67	2.70	0.54	7.57	51.89	36.22	60.00
115	141	1	1	13	86	38	38	0.71	0.71	9.22	60.99	26.95	70.92
116	502	24	6	43	264	160	160	4.78	1.20	8.57	52.59	31.87	62.35
117	453	9	0	30	330	79	79	1.99	0.00	6.62	72.85	17.44	79.47
118	475	12	5	65	293	95	95	2.53	1.05	13.68	61.68	20.00	76.42
119	1375	65	8	166	794	307	307	4.73	0.58	12.07	57.75	22.33	70.40
120	60	5	0	13	35	7	7	8.33	0.00	21.67	58.33	11.67	80.00
121	576	10	7	35	250	264	264	1.74	1.22	6.08	43.40	45.83	50.69
122	351	13	2	46	211	71	71	3.70	0.57	13.11	60.11	20.23	73.79
123	115	3	0	8	73	28	28	2.61	0.00	6.96	63.48	24.35	70.43
124	105	2	0	5	73	25	25	1.90	0.00	4.76	69.52	23.81	74.29
125	426	10	1	29	295	87	87	2.35	0.23	6.81	69.25	20.42	76.29
126	877	41	7	75	569	168	168	4.68	0.80	8.55	64.88	19.16	74.23
127	411	13	1	52	264	71	71	3.16	0.24	12.65	64.23	17.27	77.13
128	1667	92	16	239	874	425	425	5.52	0.96	14.34	52.43	25.49	67.73
