uf	municipio	total	quantidade	percentual
TO	FORTALEZA DO TABOCAO	63	9	14.29
TO	GOIANORTE	62	1	1.61
TO	GOIATINS	89	11	12.36
TO	GUARAI	446	39	8.74
TO	GURUPI	1405	155	11.03
TO	IPUEIRAS	44	5	11.36
TO	ITACAJA	123	9	7.32
TO	ITAGUATINS	74	11	14.86
TO	ITAPIRATINS	40	4	10.00
TO	ITAPORA DO TOCANTINS	24	3	12.50
TO	JAU DO TOCANTINS	26	6	23.08
TO	JUARINA	59	6	10.17
TO	LAGOA DA CONFUSAO	151	16	10.60
TO	LAGOA DO TOCANTINS	74	11	14.86
TO	LAJEADO	66	17	25.76
TO	LAVANDEIRA	53	16	30.19
TO	LIZARDA	39	3	7.69
TO	LUZINOPOLIS	46	5	10.87
TO	MARIANOPOLIS DO TOCANTINS	30	1	3.33
TO	MATEIROS	64	7	10.94
TO	MAURILANDIA DO TOCANTINS	37	5	13.51
TO	MIRACEMA DO TOCANTINS	687	97	14.12
TO	MIRANORTE	316	37	11.71
TO	MONTE DO CARMO	143	31	21.68
TO	MONTE SANTO DO TOCANTINS	20	0	0.00
TO	MURICILANDIA	28	7	25.00
TO	NATIVIDADE	138	38	27.54
TO	NAZARE	117	24	20.51
TO	NOVA OLINDA	179	14	7.82
TO	NOVA ROSALANDIA	54	7	12.96
TO	NOVO ACORDO	137	16	11.68
TO	NOVO ALEGRE	83	7	8.43
TO	NOVO JARDIM	6	1	16.67
TO	OLIVEIRA DE FATIMA	16	0	0.00
TO	PALMAS	13358	1880	14.07
TO	PALMEIRANTE	78	10	12.82
TO	PALMEIRAS DO TOCANTINS	134	15	11.19
TO	PALMEIROPOLIS	160	13	8.13
TO	PARAISO DO OCANTINS	1	0	0.00
TO	PARAISO DO TOCANTINS	1392	110	7.90
TO	PARAISO DO TOCATINS	1	0	0.00
TO	PARANA	119	40	33.61
TO	PAU D ARCO	69	13	18.84
TO	PEDRO AFONSO	220	9	4.09
TO	PEIXE	117	37	31.62
TO	PEQUIZEIRO	115	4	3.48
TO	PINDORAMA DO TOCANTINS	62	12	19.35
TO	PIRAQUE	65	10	15.38
TO	PIUM	61	7	11.48
TO	PONTE ALTA DO BOM JESUS	74	13	17.57
TO	PONTE ALTA DO TOCANTINS	144	16	11.11
TO	PORTO ALEGRE DO TOCANTINS	43	17	39.53
TO	PORTO NACIONAL	2325	447	19.23
TO	PRAIA NORTE	153	45	29.41
TO	PRESIDENTE KENNEDY	44	1	2.27
TO	PUGMIL	26	3	11.54
TO	RECURSOLANDIA	35	4	11.43
TO	RIACHINHO	78	10	12.82
TO	RIO DA CONCEICAO	20	4	20.00
TO	RIO DOS BOIS	27	3	11.11
TO	RIO SONO	77	3	3.90
TO	SAMPAIO	59	17	28.81
TO	SANDOLANDIA	43	1	2.33
TO	SANTA FE DO ARAGUAIA	110	11	10.00
TO	SANTA MARIA DO TOCANTINS	74	2	2.70
TO	SANTA RITA DO TOCANTINS	48	5	10.42
TO	SANTA ROSA DO TOCANTINS	86	21	24.42
TO	SANTA TEREZA DO TOCANTINS	84	19	22.62
TO	SANTA TEREZINHA DO TOCANTINS	54	6	11.11
TO	SAO BENTO DO TOCANTINS	53	5	9.43
TO	SAO FELIX DO TOCANTINS	35	6	17.14
TO	SAO MIGUEL DO TOCANTINS	254	65	25.59
TO	SAO SALVADOR DO TOCANTINS	40	3	7.50
TO	SAO SEBASTIAO DO TOCANTINS	50	6	12.00
TO	SAO VALERIO	75	11	14.67
TO	SILVANOPOLIS	127	22	17.32
TO	SITIO NOVO DO TOCANTINS	169	22	13.02
TO	SUCUPIRA	26	0	0.00
TO	TAGUATINGA	167	25	14.97
TO	TAIPAS DO TOCANTINS	34	8	23.53
TO	TALISMA	76	8	10.53
TO	TOCANTINIA	54	9	16.67
TO	TOCANTINOPOLIS	548	80	14.60
TO	TUPIRAMA	18	0	0.00
TO	TUPIRATINS	35	3	8.57
TO	WANDERLANDIA	171	25	14.62
TO	XAMBIOA	415	93	22.41
